"inst_id","year","h","club","metric"
"I114499477",2006,2.78958516713887,"club1","n_publication"
"I114499477",2007,2.73938844396857,"club1","n_publication"
"I114499477",2008,2.78634813935416,"club1","n_publication"
"I114499477",2009,2.69683847608019,"club1","n_publication"
"I114499477",2010,2.57605851014805,"club1","n_publication"
"I114499477",2011,2.51071578337537,"club1","n_publication"
"I114499477",2012,2.32458881936552,"club1","n_publication"
"I114499477",2013,2.23522722832922,"club1","n_publication"
"I114499477",2014,2.31112115346046,"club1","n_publication"
"I114499477",2015,2.15935878458262,"club1","n_publication"
"I114499477",2016,2.08439144757689,"club1","n_publication"
"I114499477",2017,2.01945614858096,"club1","n_publication"
"I114499477",2018,1.91546344876131,"club1","n_publication"
"I114499477",2019,1.82462987975287,"club1","n_publication"
"I114499477",2020,1.743234989011,"club1","n_publication"
"I114499477",2021,1.65977734520582,"club1","n_publication"
"I114499477",2022,1.600611081122,"club1","n_publication"
"I114499477",2023,1.54448495564038,"club1","n_publication"
"I114499477",2024,1.55112949998444,"club1","n_publication"
"I114499477",2025,1.45960156515203,"club1","n_publication"
"I114564095",2006,2.47537351428158,"club1","n_publication"
"I114564095",2007,1.94397448879831,"club1","n_publication"
"I114564095",2008,2.08062568209984,"club1","n_publication"
"I114564095",2009,1.9369481715875,"club1","n_publication"
"I114564095",2010,1.82072039335656,"club1","n_publication"
"I114564095",2011,1.73596714944666,"club1","n_publication"
"I114564095",2012,1.78832846140419,"club1","n_publication"
"I114564095",2013,1.84219914699716,"club1","n_publication"
"I114564095",2014,1.75279824815912,"club1","n_publication"
"I114564095",2015,1.81681556282089,"club1","n_publication"
"I114564095",2016,1.76355956387259,"club1","n_publication"
"I114564095",2017,1.75970366626228,"club1","n_publication"
"I114564095",2018,1.76326845818478,"club1","n_publication"
"I114564095",2019,1.62546429373764,"club1","n_publication"
"I114564095",2020,1.63101399074823,"club1","n_publication"
"I114564095",2021,1.612016055577,"club1","n_publication"
"I114564095",2022,1.53530387043878,"club1","n_publication"
"I114564095",2023,1.51573878855144,"club1","n_publication"
"I114564095",2024,1.52174246132405,"club1","n_publication"
"I114564095",2025,1.41955251620899,"club1","n_publication"
"I114794399",2006,3.34706809658694,"club1","n_publication"
"I114794399",2007,3.38168108161725,"club1","n_publication"
"I114794399",2008,3.25145369669138,"club1","n_publication"
"I114794399",2009,3.12023569728041,"club1","n_publication"
"I114794399",2010,2.9365382068355,"club1","n_publication"
"I114794399",2011,2.76189717378166,"club1","n_publication"
"I114794399",2012,2.66066933117758,"club1","n_publication"
"I114794399",2013,2.50383786878306,"club1","n_publication"
"I114794399",2014,2.40558398872512,"club1","n_publication"
"I114794399",2015,2.38128239637941,"club1","n_publication"
"I114794399",2016,2.27211906792165,"club1","n_publication"
"I114794399",2017,2.19707119267667,"club1","n_publication"
"I114794399",2018,2.12056264776177,"club1","n_publication"
"I114794399",2019,2.04302086679863,"club1","n_publication"
"I114794399",2020,2.0016093026917,"club1","n_publication"
"I114794399",2021,1.94252462653941,"club1","n_publication"
"I114794399",2022,1.95018917617146,"club1","n_publication"
"I114794399",2023,1.89778557137415,"club1","n_publication"
"I114794399",2024,1.86346414483451,"club1","n_publication"
"I114794399",2025,1.76157913709037,"club1","n_publication"
"I116082035",2006,0.977050495826699,"club1","n_publication"
"I116082035",2007,0.408837115055572,"club1","n_publication"
"I116082035",2008,1.07644116416194,"club1","n_publication"
"I116082035",2009,0.718410293654173,"club1","n_publication"
"I116082035",2010,1.01295245658126,"club1","n_publication"
"I116082035",2011,0.498128355623781,"club1","n_publication"
"I116082035",2012,0.99631958879588,"club1","n_publication"
"I116082035",2013,0.919521497721282,"club1","n_publication"
"I116082035",2014,0.789976514722539,"club1","n_publication"
"I116082035",2015,1.03125211066868,"club1","n_publication"
"I116082035",2016,0.830273908487449,"club1","n_publication"
"I116082035",2017,0.968898815933793,"club1","n_publication"
"I116082035",2018,0.896696389227389,"club1","n_publication"
"I116082035",2019,0.86527784047389,"club1","n_publication"
"I116082035",2020,1.07207575356209,"club1","n_publication"
"I116082035",2021,0.960937152785526,"club1","n_publication"
"I116082035",2022,0.904767384201948,"club1","n_publication"
"I116082035",2023,0.973746897150398,"club1","n_publication"
"I116082035",2024,0.933063813781332,"club1","n_publication"
"I116082035",2025,0.965819725455609,"club1","n_publication"
"I116970179",2006,2.31093193738051,"club1","n_publication"
"I116970179",2007,2.35281160385388,"club1","n_publication"
"I116970179",2008,2.48921069782641,"club1","n_publication"
"I116970179",2009,2.27730675114788,"club1","n_publication"
"I116970179",2010,2.10961784109478,"club1","n_publication"
"I116970179",2011,2.19284744808691,"club1","n_publication"
"I116970179",2012,1.98919104543118,"club1","n_publication"
"I116970179",2013,1.85760162902537,"club1","n_publication"
"I116970179",2014,1.7662655081773,"club1","n_publication"
"I116970179",2015,1.84137054209538,"club1","n_publication"
"I116970179",2016,1.77692641833084,"club1","n_publication"
"I116970179",2017,1.68615391342903,"club1","n_publication"
"I116970179",2018,1.64941359244082,"club1","n_publication"
"I116970179",2019,1.60501665237524,"club1","n_publication"
"I116970179",2020,1.50560946096821,"club1","n_publication"
"I116970179",2021,1.47427065435476,"club1","n_publication"
"I116970179",2022,1.44199610381546,"club1","n_publication"
"I116970179",2023,1.40074992905466,"club1","n_publication"
"I116970179",2024,1.42691758562292,"club1","n_publication"
"I116970179",2025,1.38079068734977,"club1","n_publication"
"I117467261",2006,1.78749707727158,"club1","n_publication"
"I117467261",2007,1.82318115775127,"club1","n_publication"
"I117467261",2008,1.62880867036766,"club1","n_publication"
"I117467261",2009,1.28773698144114,"club1","n_publication"
"I117467261",2010,1.48306957449614,"club1","n_publication"
"I117467261",2011,1.55702463648671,"club1","n_publication"
"I117467261",2012,1.87879203350272,"club1","n_publication"
"I117467261",2013,1.99346895184072,"club1","n_publication"
"I117467261",2014,1.71216251916992,"club1","n_publication"
"I117467261",2015,1.57600081134951,"club1","n_publication"
"I117467261",2016,1.49599822467726,"club1","n_publication"
"I117467261",2017,1.5490601439252,"club1","n_publication"
"I117467261",2018,1.45026750509016,"club1","n_publication"
"I117467261",2019,1.36798858885369,"club1","n_publication"
"I117467261",2020,1.35218280747894,"club1","n_publication"
"I117467261",2021,1.39781355772957,"club1","n_publication"
"I117467261",2022,1.38935902168457,"club1","n_publication"
"I117467261",2023,1.37619126291951,"club1","n_publication"
"I117467261",2024,1.31335042910386,"club1","n_publication"
"I117467261",2025,1.26081138565783,"club1","n_publication"
"I117723502",2006,2.14076745205354,"club1","n_publication"
"I117723502",2007,2.07994363096921,"club1","n_publication"
"I117723502",2008,1.80231817591499,"club1","n_publication"
"I117723502",2009,1.66809704449191,"club1","n_publication"
"I117723502",2010,1.40797859132354,"club1","n_publication"
"I117723502",2011,1.54215720719205,"club1","n_publication"
"I117723502",2012,1.44000474446195,"club1","n_publication"
"I117723502",2013,1.47641706013327,"club1","n_publication"
"I117723502",2014,1.35227859237392,"club1","n_publication"
"I117723502",2015,1.40982796947945,"club1","n_publication"
"I117723502",2016,1.33895741580404,"club1","n_publication"
"I117723502",2017,1.35205507389856,"club1","n_publication"
"I117723502",2018,1.32285799258955,"club1","n_publication"
"I117723502",2019,1.29971080141542,"club1","n_publication"
"I117723502",2020,1.21481856883693,"club1","n_publication"
"I117723502",2021,1.33007672573749,"club1","n_publication"
"I117723502",2022,1.31433823489903,"club1","n_publication"
"I117723502",2023,1.34461925670093,"club1","n_publication"
"I117723502",2024,1.35044052476533,"club1","n_publication"
"I117723502",2025,1.27905115704838,"club1","n_publication"
"I118185606",2006,3.3065813900058,"club1","n_publication"
"I118185606",2007,3.1649990290182,"club1","n_publication"
"I118185606",2008,3.04769076710924,"club1","n_publication"
"I118185606",2009,2.93826544571104,"club1","n_publication"
"I118185606",2010,2.80223438330144,"club1","n_publication"
"I118185606",2011,2.7109222837324,"club1","n_publication"
"I118185606",2012,2.45592146940344,"club1","n_publication"
"I118185606",2013,2.28882177519501,"club1","n_publication"
"I118185606",2014,2.19807542222213,"club1","n_publication"
"I118185606",2015,2.14966043583167,"club1","n_publication"
"I118185606",2016,2.11313782544787,"club1","n_publication"
"I118185606",2017,1.9680638459896,"club1","n_publication"
"I118185606",2018,1.92272136606241,"club1","n_publication"
"I118185606",2019,1.84427936679942,"club1","n_publication"
"I118185606",2020,1.87425465842842,"club1","n_publication"
"I118185606",2021,1.81560034291093,"club1","n_publication"
"I118185606",2022,1.76713601886507,"club1","n_publication"
"I118185606",2023,1.7318740487898,"club1","n_publication"
"I118185606",2024,1.74964217867961,"club1","n_publication"
"I118185606",2025,1.6573437647299,"club1","n_publication"
"I11892038",2006,3.29602328726158,"club1","n_publication"
"I11892038",2007,3.23995748133051,"club1","n_publication"
"I11892038",2008,3.1070929056712,"club1","n_publication"
"I11892038",2009,2.92925263621025,"club1","n_publication"
"I11892038",2010,2.96392493080755,"club1","n_publication"
"I11892038",2011,2.76801074014269,"club1","n_publication"
"I11892038",2012,2.57460729642132,"club1","n_publication"
"I11892038",2013,2.5604628585513,"club1","n_publication"
"I11892038",2014,2.45902299424906,"club1","n_publication"
"I11892038",2015,2.37735592906742,"club1","n_publication"
"I11892038",2016,2.35736910702104,"club1","n_publication"
"I11892038",2017,2.23155859246188,"club1","n_publication"
"I11892038",2018,2.24105072041486,"club1","n_publication"
"I11892038",2019,2.18527981645207,"club1","n_publication"
"I11892038",2020,2.12898506389101,"club1","n_publication"
"I11892038",2021,2.06709299545892,"club1","n_publication"
"I11892038",2022,2.01963568792056,"club1","n_publication"
"I11892038",2023,1.96468829859138,"club1","n_publication"
"I11892038",2024,1.93981038554714,"club1","n_publication"
"I11892038",2025,1.82371011234925,"club1","n_publication"
"I119444248",2006,0,"club1","n_publication"
"I119444248",2007,0.647991496266103,"club1","n_publication"
"I119444248",2008,0.607731806913404,"club1","n_publication"
"I119444248",2009,0.718410293654173,"club1","n_publication"
"I119444248",2010,0.337650818860421,"club1","n_publication"
"I119444248",2011,0.498128355623781,"club1","n_publication"
"I119444248",2012,0.576001897784781,"club1","n_publication"
"I119444248",2013,0.687086450100945,"club1","n_publication"
"I119444248",2014,0.747629531641695,"club1","n_publication"
"I119444248",2015,0.769549818835961,"club1","n_publication"
"I119444248",2016,0.734151618051835,"club1","n_publication"
"I119444248",2017,0.66176830315749,"club1","n_publication"
"I119444248",2018,0.756750890814122,"club1","n_publication"
"I119444248",2019,0.762256977105377,"club1","n_publication"
"I119444248",2020,0.564206871699903,"club1","n_publication"
"I119444248",2021,0.780375308346351,"club1","n_publication"
"I119444248",2022,0.797922693042356,"club1","n_publication"
"I119444248",2023,1.0012927822402,"club1","n_publication"
"I119444248",2024,0.981003340718376,"club1","n_publication"
"I119444248",2025,0.944269516532126,"club1","n_publication"
"I119856527",2006,3.21343623360847,"club1","n_publication"
"I119856527",2007,3.26607080042856,"club1","n_publication"
"I119856527",2008,3.12685148210726,"club1","n_publication"
"I119856527",2009,2.82707551468068,"club1","n_publication"
"I119856527",2010,2.82930396718291,"club1","n_publication"
"I119856527",2011,2.77003041372343,"club1","n_publication"
"I119856527",2012,2.63440369809651,"club1","n_publication"
"I119856527",2013,2.4340349217468,"club1","n_publication"
"I119856527",2014,2.31112115346046,"club1","n_publication"
"I119856527",2015,2.30185794034789,"club1","n_publication"
"I119856527",2016,2.22888180780862,"club1","n_publication"
"I119856527",2017,2.1587476819102,"club1","n_publication"
"I119856527",2018,2.09597036073547,"club1","n_publication"
"I119856527",2019,2.03982110769471,"club1","n_publication"
"I119856527",2020,1.98281700051291,"club1","n_publication"
"I119856527",2021,1.94131862587818,"club1","n_publication"
"I119856527",2022,1.90633704762815,"club1","n_publication"
"I119856527",2023,1.88647503504494,"club1","n_publication"
"I119856527",2024,1.86819197514796,"club1","n_publication"
"I119856527",2025,1.78012173177139,"club1","n_publication"
"I12003341",2006,2.97335906408736,"club1","n_publication"
"I12003341",2007,3.20237615593871,"club1","n_publication"
"I12003341",2008,2.9054596000376,"club1","n_publication"
"I12003341",2009,2.79745468232124,"club1","n_publication"
"I12003341",2010,2.58095430172873,"club1","n_publication"
"I12003341",2011,2.55001934827509,"club1","n_publication"
"I12003341",2012,2.39280952439983,"club1","n_publication"
"I12003341",2013,2.25820949795893,"club1","n_publication"
"I12003341",2014,2.19165500507387,"club1","n_publication"
"I12003341",2015,2.28684547584137,"club1","n_publication"
"I12003341",2016,2.26076598933232,"club1","n_publication"
"I12003341",2017,2.20558340755309,"club1","n_publication"
"I12003341",2018,2.13436289056116,"club1","n_publication"
"I12003341",2019,2.05804424534681,"club1","n_publication"
"I12003341",2020,1.96085674025514,"club1","n_publication"
"I12003341",2021,1.86149806565161,"club1","n_publication"
"I12003341",2022,1.78695731904494,"club1","n_publication"
"I12003341",2023,1.71951773738024,"club1","n_publication"
"I12003341",2024,1.64442896749649,"club1","n_publication"
"I12003341",2025,1.49334906807485,"club1","n_publication"
"I121645547",2006,1.26237823381963,"club1","n_publication"
"I121645547",2007,1.73671042956147,"club1","n_publication"
"I121645547",2008,1.45987724333535,"club1","n_publication"
