name,wikidata_qid,founded_year,status,age_group
Egerton University,Q3915401,1939,done,pre_1960
Egypt-Japan University of Science and Technology,Q4115744,2010,done,post_2010
Egyptian Aviation Academy,Q6875918,NA,done,NA
Egyptian Chinese University,Q29513905,2013,done,post_2010
Egyptian College of Critical Care Physicians,Q30265707,NA,done,NA
Egyptian Institute of Alexandria Academy for Administration & Accounting,Q30294278,NA,done,NA
Egyptian Russian University,Q2597842,2006,done,1990_2009
Egyptian Universities Network,Q30253677,NA,done,NA
Egyptian e-Learning University,Q12185355,2008,done,1990_2009
Ekiti State University,Q7895014,1982,done,1960_1989
El Asher University,Q22929364,2009,done,1990_2009
El Shorouk Academy,Q12180089,1995,done,1990_2009
ElSewedy University of Technology,Q122186974,2023,done,post_2010
Elizade University,Q16733493,2013,done,post_2010
Elsahel Teaching Hospital Cairo Egypt,NA,NA,done,NA
Elsheikh Abdallah Elbadri University,Q16121178,2002,done,1990_2009
Emir Abdelkader University of Islamic Sciences,Q5372520,1984,done,1960_1989
"Emmanuel Alayande University of Education, Oyo",NA,NA,done,NA
Enieg Oxford University Institute,Q135739043,2022,done,post_2010
Enugu State University of Science and Technology,Q5380877,1979,done,1960_1989
Equator University of Science and Technology,Q131763159,NA,done,NA
Ernest Cook University,Q65512610,2002,done,1990_2009
Escola Superior Pedagógica do Cuanza Norte,Q65175001,2009,done,1990_2009
Escola Superior de Jornalismo,Q30294202,NA,done,NA
Espam Formation University,Q30266447,2007,done,1990_2009
Ethiopian Civil Service University,Q5403540,1995,done,1990_2009
Ethiopian Defence University,NA,NA,done,NA
Ethiopian Institute of Agricultural Research,Q5403550,1940,done,pre_1960
Ethiopian Institute of Water Resources,Q121599439,2011,done,post_2010
Ethiopian Police University College,NA,NA,done,NA
Euclid University,Q5406105,2005,done,1990_2009
Euro-Mediterranean University of Fes,NA,NA,done,NA
Evangelical Presbyterian University College,Q5415743,2008,done,1990_2009
Evelyn Hone College,Q1259137,1965,done,1960_1989
Evolutionary Engineering & Distributed Information Systems Laboratory,Q135095075,NA,done,NA
Examinations Council of Zambia,Q48815184,1987,done,1960_1989
Experiential Higher Institute of Science and Technology (EXHIST),NA,NA,done,NA
Ez-Zitouna University,Q428136,737,done,pre_1960
FCT College of Education,Q61931453,1996,done,1990_2009
FOMIC Polytechnic University Institute,Q135738658,2011,done,post_2010
Faculty of Economics and Management of Sfax,NA,NA,done,NA
Faculty of Sciences of Sfax,Q91611455,NA,done,NA
Fairland University,Q5430506,2001,done,1990_2009
Fayoum University,Q4119550,2005,done,1990_2009
Federal College of Agrioculture Ishiagu,NA,NA,done,NA
Federal College of Animal Health and Production Technology Ibadan,NA,NA,done,NA
Federal College of Education (Technical) Asaba,NA,NA,done,NA
Federal College of Education (Technical) Bichi,NA,NA,done,NA
Federal College of Education (Technical) Ekiadolor,NA,NA,done,NA
Federal College of Education Gidan Madi,Q138460674,2021,done,post_2010
"Federal College of Education, Eha-Amufu",Q107477950,1981,done,1960_1989
"Federal College of Education, Iwo",Q111936422,2020,done,post_2010
"Federal College of Education, Kano",Q105095640,1965,done,1960_1989
Federal College of Fisheries and Marine Technology,Q5440063,1969,done,1960_1989
Federal College of Medical Laboratory Science and Technology,Q135095498,NA,done,NA
Federal Institute of Industrial Research Oshodi,Q30261806,1953,done,pre_1960
Federal Polytechnic Ayede,Q117447602,2021,done,post_2010
Federal Polytechnic Damaturu,Q100709256,1992,done,1990_2009
Federal Polytechnic Ede,Q109248945,1992,done,1990_2009
Federal Polytechnic Kabo,Q138654995,2023,done,post_2010
Federal Polytechnic Nekede,Q109235461,1977,done,1960_1989
Federal Polytechnic Ohodo,Q133810671,2021,done,post_2010
Federal Polytechnic Oko,NA,NA,done,NA
Federal Polytechnic Orogun,Q133810698,2023,done,post_2010
Federal Polytechnic Wannune,Q132803481,2021,done,post_2010
"Federal Polytechnic, Ile-Oluji, Ondo State",Q107475800,2016,done,post_2010
"Federal Polytechnic, Ukana",Q107476580,2014,done,post_2010
"Federal School of Surveying, Oyo",Q113519266,1908,done,pre_1960
Federal University Birnin Kebbi,Q108871044,2014,done,post_2010
Federal University Gashua,Q17929189,2013,done,post_2010
Federal University Kashere,Q109096771,2011,done,post_2010
Federal University Lafia,Q108871055,2011,done,post_2010
Federal University Lokoja,Q18354920,2011,done,post_2010
Federal University Otuoke,Q22080808,2011,done,post_2010
Federal University Oye Ekiti,Q5440473,2011,done,post_2010
Federal University of Agriculture,Q7895022,1988,done,1960_1989
Federal University of Agriculture Zuru,NA,NA,done,NA
"Federal University of Allied Health Sciences, Enugu",Q136663946,2024,done,post_2010
"Federal University of Health Sciences, Ila-Orangun",NA,NA,done,NA
"Federal University of Health Sciences, Otukpo",Q133896459,NA,done,NA
Federal University of Petroleum Resource Effurun,Q16838161,2007,done,1990_2009
Federal University of Technology,Q5440486,1981,done,1960_1989
Federal University of Technology Ikot Abasi,Q121408943,NA,done,NA
Federal University of Technology Minna,Q17105410,1983,done,1960_1989
Federal University of Technology Owerri,Q5440485,1980,done,1960_1989
"Federal University of Technology, Babura",Q133811744,2021,done,post_2010
Fezzan University,Q102347733,2017,done,post_2010
Fins Medical University,Q65046746,NA,done,NA
Fisheries Education and Training Agency,Q132803446,2012,done,post_2010
Fountain University,Q5474772,2007,done,1990_2009
Freetown Polytechnic,Q135398273,NA,done,NA
French University of Egypt,Q3183238,2002,done,1990_2009
Future Academy,Q95974971,NA,done,NA
Future University in Egypt,Q3013175,2006,done,1990_2009
Gaborone University College Of Law and Professional Studies,Q30266466,2006,done,1990_2009
Gadarif University,NA,NA,done,NA
Gamal Abdel Nasser University of Conakry,Q2496012,1962,done,1960_1989
Gambia National Library Service Authority,NA,NA,done,NA
Garden City University College,Q284673,2001,done,1990_2009
Gateway ICT Polytechnic Saapade,Q135398351,2006,done,1990_2009
German International University,Q139771466,2019,done,post_2010
German University in Cairo,Q691097,2002,done,1990_2009
Ghana Armed Forces Command and Staff College,Q107518931,1963,done,1960_1989
Ghana Baptist University College,Q1521340,2006,done,1990_2009
Ghana Christian University College,Q1521341,1966,done,1960_1989
Ghana College of Physicians and Surgeons,Q65049397,NA,done,NA
Ghana Communication Technology University,Q1521371,2006,done,1990_2009
Ghana Institute of Languages,Q5555360,1961,done,1960_1989
Ghana Institute of Management and Public Administration,Q16733564,1961,done,1960_1989
Giza Engineering Institute,Q135095187,NA,done,NA
Global Centre for Academic Research,Q135398337,2018,done,post_2010
Global Wealth University,Q138860205,2015,done,post_2010
Glorious Vision University,Q7410732,2011,done,post_2010
Godfrey Okoye University,Q13601184,2009,done,1990_2009
Gollis University,Q5580839,2004,done,1990_2009
Gombe State College of Health Sciences and Technology Kaltungo,Q133811647,1982,done,1960_1989
Gombe State University,Q5581122,2004,done,1990_2009
Great Lakes University of Kisumu,Q5599489,2006,done,1990_2009
Great Zimbabwe University,Q5600321,1995,done,1990_2009
Green Hope University,Q138587616,2006,done,1990_2009
Greenfield University,Q65058557,2019,done,post_2010
Greenside Design Center College of Design,Q30294159,NA,done,NA
Gregory University Uturu,NA,NA,done,NA
Gretsa University,Q5607783,2006,done,1990_2009
Groupe AFI,NA,NA,done,NA
Groupe Institut des Hautes Études Économiques et Sociales,Q30294382,NA,done,NA
Groupe École Supérieure de Commerce de Dakar,Q30294356,NA,done,NA
Gulu University,Q5617918,2001,done,1990_2009
Gwanda State University,Q5623285,2012,done,post_2010
Gweru Polytechnic Institute,Q5623566,NA,done,NA
HIBMAT University Institute of Buea,Q135738430,2010,done,post_2010
Haramaya University,Q5654075,1954,done,pre_1960
Harare Institute of Technology,Q5654201,1988,done,1960_1989
Hassan Usman Katsina Polytechnic,Q24590309,1983,done,1960_1989
Hassania School of Public Works,Q3577670,1971,done,1960_1989
Hassiba Benbouali University of Chlef,Q29426444,1983,done,1960_1989
Haute École de Commerce et de Management,Q30294294,1999,done,1990_2009
Hautes Études Chrétiennes de Management et de Mathématiques Appliquées,Q30294283,NA,done,NA
Hawassa University,Q5684692,1999,done,1990_2009
Health International Private University,Q30294290,NA,done,NA
Hebron Theological College,Q41568453,NA,done,NA
Helderberg College,Q3129583,1893,done,pre_1960
Heliopolis University,Q12204553,2012,done,post_2010
Helix Biogen Institute,Q138654924,2019,done,post_2010
Helwan University,Q10276202,2002,done,1990_2009
Hensard University,Q125138382,2023,done,post_2010
Heritage Christian University,Q5738742,1971,done,1960_1989
Heritage Polytechnic,Q16928304,NA,done,NA
High Institute For Computers and Management Information Systems,Q30265848,NA,done,NA
High Institute for Management Sciences,NA,NA,done,NA
High Institute of Management and Entrepreneurship,Q30294323,2013,done,post_2010
High-Tech Rabat-Agdal,Q30294296,NA,done,NA
Higher Institute for Qualitative Studies,NA,NA,done,NA
"Higher Institute for Tourism, Hotels and Computer",Q30294291,NA,done,NA
