inst_id,year,n_publications
https://openalex.org/I42317466,2025,333
https://openalex.org/I42317466,2026,119
https://openalex.org/I67080706,2018,656
https://openalex.org/I67080706,2019,717
https://openalex.org/I67080706,2020,862
https://openalex.org/I67080706,2021,839
https://openalex.org/I67080706,2022,726
https://openalex.org/I67080706,2023,673
https://openalex.org/I67080706,2024,614
https://openalex.org/I67080706,2025,617
https://openalex.org/I67080706,2026,174
https://openalex.org/I123338534,2020,1395
https://openalex.org/I123338534,2021,1605
https://openalex.org/I123338534,2022,1510
https://openalex.org/I123338534,2023,1656
https://openalex.org/I123338534,2024,1748
https://openalex.org/I123338534,2025,1985
https://openalex.org/I123338534,2026,818
https://openalex.org/I103434671,2025,1068
https://openalex.org/I103434671,2026,310
https://openalex.org/I98635879,2016,1147
https://openalex.org/I98635879,2017,1200
https://openalex.org/I98635879,2018,1383
https://openalex.org/I98635879,2019,1510
https://openalex.org/I98635879,2020,1772
https://openalex.org/I98635879,2021,1510
https://openalex.org/I98635879,2022,1452
https://openalex.org/I98635879,2023,1344
https://openalex.org/I98635879,2024,1379
https://openalex.org/I98635879,2025,1584
https://openalex.org/I98635879,2026,967
https://openalex.org/I80693520,2017,460
https://openalex.org/I80693520,2018,449
https://openalex.org/I80693520,2019,494
https://openalex.org/I80693520,2020,635
https://openalex.org/I80693520,2021,739
https://openalex.org/I80693520,2022,770
https://openalex.org/I80693520,2023,738
https://openalex.org/I80693520,2024,762
https://openalex.org/I80693520,2025,777
https://openalex.org/I80693520,2026,274
https://openalex.org/I199440890,2016,418
https://openalex.org/I199440890,2017,483
https://openalex.org/I199440890,2018,482
https://openalex.org/I199440890,2019,550
https://openalex.org/I199440890,2020,711
https://openalex.org/I199440890,2021,695
https://openalex.org/I199440890,2022,773
https://openalex.org/I199440890,2023,838
https://openalex.org/I199440890,2024,964
https://openalex.org/I199440890,2025,952
https://openalex.org/I199440890,2026,337
https://openalex.org/I2803079837,2025,1000
https://openalex.org/I2803079837,2026,489
https://openalex.org/I158248296,2016,2486
https://openalex.org/I158248296,2017,2735
https://openalex.org/I158248296,2018,2551
https://openalex.org/I158248296,2019,2704
