inst_id,year,n_works,n_international_any,international_share_any,n_inter_african,inter_african_share,n_extra_african,extra_african_share
I4210117424,2024,0,0,NA,0,NA,0,NA
I4210117424,2025,0,0,NA,0,NA,0,NA
I344018163,2006,0,0,NA,0,NA,0,NA
I344018163,2007,0,0,NA,0,NA,0,NA
I344018163,2008,0,0,NA,0,NA,0,NA
I344018163,2009,0,0,NA,0,NA,0,NA
I344018163,2010,0,0,NA,0,NA,0,NA
I344018163,2011,0,0,NA,0,NA,0,NA
I344018163,2012,0,0,NA,0,NA,0,NA
I344018163,2013,0,0,NA,0,NA,0,NA
I344018163,2014,0,0,NA,0,NA,0,NA
I344018163,2015,0,0,NA,0,NA,0,NA
I344018163,2016,0,0,NA,0,NA,0,NA
I344018163,2017,0,0,NA,0,NA,0,NA
I344018163,2018,0,0,NA,0,NA,0,NA
I344018163,2019,0,0,NA,0,NA,0,NA
I344018163,2020,0,0,NA,0,NA,0,NA
I344018163,2021,0,0,NA,0,NA,0,NA
I344018163,2022,0,0,NA,0,NA,0,NA
I344018163,2023,0,0,NA,0,NA,0,NA
I344018163,2024,0,0,NA,0,NA,0,NA
I344018163,2025,0,0,NA,0,NA,0,NA
I4405259924,2006,0,0,NA,0,NA,0,NA
I4405259924,2007,0,0,NA,0,NA,0,NA
I4405259924,2008,0,0,NA,0,NA,0,NA
I4405259924,2009,0,0,NA,0,NA,0,NA
I4405259924,2010,0,0,NA,0,NA,0,NA
I4405259924,2011,0,0,NA,0,NA,0,NA
I4405259924,2012,0,0,NA,0,NA,0,NA
I4405259924,2013,0,0,NA,0,NA,0,NA
I4405259924,2014,0,0,NA,0,NA,0,NA
I4405259924,2015,0,0,NA,0,NA,0,NA
I4405259924,2016,0,0,NA,0,NA,0,NA
I4405259924,2017,0,0,NA,0,NA,0,NA
I4405259924,2018,0,0,NA,0,NA,0,NA
I4405259924,2019,0,0,NA,0,NA,0,NA
I4405259924,2020,0,0,NA,0,NA,0,NA
I4405259924,2021,0,0,NA,0,NA,0,NA
I4405259924,2022,0,0,NA,0,NA,0,NA
I4405259924,2023,0,0,NA,0,NA,0,NA
I4405259924,2024,0,0,NA,0,NA,0,NA
I4405259924,2025,0,0,NA,0,NA,0,NA
I2802029997,2006,0,0,NA,0,NA,0,NA
I2802029997,2007,0,0,NA,0,NA,0,NA
I2802029997,2008,0,0,NA,0,NA,0,NA
I2802029997,2009,0,0,NA,0,NA,0,NA
I2802029997,2010,0,0,NA,0,NA,0,NA
I2802029997,2011,0,0,NA,0,NA,0,NA
I2802029997,2012,0,0,NA,0,NA,0,NA
I2802029997,2013,0,0,NA,0,NA,0,NA
I2802029997,2014,0,0,NA,0,NA,0,NA
I2802029997,2015,0,0,NA,0,NA,0,NA
I2802029997,2016,0,0,NA,0,NA,0,NA
I2802029997,2017,0,0,NA,0,NA,0,NA
I2802029997,2018,0,0,NA,0,NA,0,NA
I2802029997,2019,0,0,NA,0,NA,0,NA
I2802029997,2020,0,0,NA,0,NA,0,NA
I2802029997,2021,0,0,NA,0,NA,0,NA
I2802029997,2022,0,0,NA,0,NA,0,NA
I2802029997,2023,0,0,NA,0,NA,0,NA
I2802029997,2024,0,0,NA,0,NA,0,NA
I2802029997,2025,0,0,NA,0,NA,0,NA
I4405256528,2006,0,0,NA,0,NA,0,NA
I4405256528,2007,0,0,NA,0,NA,0,NA
I4405256528,2008,0,0,NA,0,NA,0,NA
I4405256528,2009,0,0,NA,0,NA,0,NA
I4405256528,2010,0,0,NA,0,NA,0,NA
I4405256528,2011,0,0,NA,0,NA,0,NA
I4405256528,2012,0,0,NA,0,NA,0,NA
I4405256528,2013,0,0,NA,0,NA,0,NA
I4405256528,2014,0,0,NA,0,NA,0,NA
I4405256528,2015,0,0,NA,0,NA,0,NA
I4405256528,2016,0,0,NA,0,NA,0,NA
I4405256528,2017,0,0,NA,0,NA,0,NA
I4405256528,2018,0,0,NA,0,NA,0,NA
I4405256528,2019,0,0,NA,0,NA,0,NA
I4405256528,2020,0,0,NA,0,NA,0,NA
I4405256528,2021,0,0,NA,0,NA,0,NA
I4405256528,2022,0,0,NA,0,NA,0,NA
I4405256528,2023,0,0,NA,0,NA,0,NA
I4405256528,2024,0,0,NA,0,NA,0,NA
I4405256528,2025,0,0,NA,0,NA,0,NA
I193555791,2006,0,0,NA,0,NA,0,NA
I193555791,2007,0,0,NA,0,NA,0,NA
I193555791,2008,0,0,NA,0,NA,0,NA
I193555791,2009,0,0,NA,0,NA,0,NA
I193555791,2010,0,0,NA,0,NA,0,NA
I193555791,2011,0,0,NA,0,NA,0,NA
I193555791,2012,0,0,NA,0,NA,0,NA
I193555791,2013,0,0,NA,0,NA,0,NA
I193555791,2014,0,0,NA,0,NA,0,NA
I193555791,2015,0,0,NA,0,NA,0,NA
I193555791,2016,0,0,NA,0,NA,0,NA
I193555791,2017,0,0,NA,0,NA,0,NA
I193555791,2018,0,0,NA,0,NA,0,NA
I193555791,2019,0,0,NA,0,NA,0,NA
I193555791,2020,0,0,NA,0,NA,0,NA
I193555791,2021,0,0,NA,0,NA,0,NA
I193555791,2022,0,0,NA,0,NA,0,NA
I193555791,2023,0,0,NA,0,NA,0,NA
I193555791,2024,0,0,NA,0,NA,0,NA
I193555791,2025,0,0,NA,0,NA,0,NA
I4405254558,2006,0,0,NA,0,NA,0,NA
I4405254558,2007,0,0,NA,0,NA,0,NA
I4405254558,2008,0,0,NA,0,NA,0,NA
I4405254558,2009,0,0,NA,0,NA,0,NA
I4405254558,2010,0,0,NA,0,NA,0,NA
I4405254558,2011,0,0,NA,0,NA,0,NA
I4405254558,2012,0,0,NA,0,NA,0,NA
I4405254558,2013,0,0,NA,0,NA,0,NA
I4405254558,2014,0,0,NA,0,NA,0,NA
I4405254558,2015,0,0,NA,0,NA,0,NA
I4405254558,2016,0,0,NA,0,NA,0,NA
I4405254558,2017,0,0,NA,0,NA,0,NA
I4405254558,2018,0,0,NA,0,NA,0,NA
I4405254558,2019,0,0,NA,0,NA,0,NA
I4405254558,2020,0,0,NA,0,NA,0,NA
I4405254558,2021,0,0,NA,0,NA,0,NA
I4405254558,2022,0,0,NA,0,NA,0,NA
I4405254558,2023,0,0,NA,0,NA,0,NA
I4405254558,2024,0,0,NA,0,NA,0,NA
I4405254558,2025,0,0,NA,0,NA,0,NA
I882248123,2006,0,0,NA,0,NA,0,NA
I882248123,2007,0,0,NA,0,NA,0,NA
I882248123,2008,0,0,NA,0,NA,0,NA
I882248123,2009,0,0,NA,0,NA,0,NA
I882248123,2010,0,0,NA,0,NA,0,NA
I882248123,2011,0,0,NA,0,NA,0,NA
I882248123,2012,0,0,NA,0,NA,0,NA
I882248123,2013,0,0,NA,0,NA,0,NA
I882248123,2014,0,0,NA,0,NA,0,NA
I882248123,2015,0,0,NA,0,NA,0,NA
I882248123,2016,0,0,NA,0,NA,0,NA
I882248123,2017,0,0,NA,0,NA,0,NA
I882248123,2018,0,0,NA,0,NA,0,NA
I882248123,2019,0,0,NA,0,NA,0,NA
I882248123,2020,0,0,NA,0,NA,0,NA
I882248123,2021,0,0,NA,0,NA,0,NA
