inst_id,year,n_citations
I28653996,2009,548
I28653996,2010,767
I28653996,2011,1408
I28653996,2012,1503
I28653996,2013,2969
I28653996,2014,1368
I28653996,2015,1952
I28653996,2016,1435
I28653996,2017,2633
I28653996,2018,2029
I28653996,2019,2398
I28653996,2020,4476
I28653996,2021,4248
I28653996,2022,4656
I28653996,2023,2777
I28653996,2024,1393
I28653996,2025,598
I28653996,2026,22
I2799835767,2006,NA
I2799835767,2007,0
I2799835767,2008,NA
I2799835767,2009,11
I2799835767,2010,36
I2799835767,2011,NA
I2799835767,2012,20
I2799835767,2013,50
I2799835767,2014,158
I2799835767,2015,14
I2799835767,2016,19
I2799835767,2017,158
I2799835767,2018,300
I2799835767,2019,613
I2799835767,2020,1740
I2799835767,2021,1228
I2799835767,2022,1200
I2799835767,2023,1089
I2799835767,2024,880
I2799835767,2025,736
I2799835767,2026,8
I3132429795,2006,161
I3132429795,2007,NA
I3132429795,2008,NA
I3132429795,2009,266
I3132429795,2010,2
I3132429795,2011,33
I3132429795,2012,NA
I3132429795,2013,93
I3132429795,2014,490
I3132429795,2015,649
I3132429795,2016,434
I3132429795,2017,2666
I3132429795,2018,1816
I3132429795,2019,4832
I3132429795,2020,7982
I3132429795,2021,2311
I3132429795,2022,703
I3132429795,2023,1005
I3132429795,2024,1338
I3132429795,2025,1198
I3132429795,2026,21
I4210121139,2006,NA
I4210121139,2007,NA
I4210121139,2008,NA
I4210121139,2009,23
I4210121139,2010,0
I4210121139,2011,NA
I4210121139,2012,NA
I4210121139,2013,0
I4210121139,2014,0
I4210121139,2015,2
I4210121139,2016,1
I4210121139,2017,NA
I4210121139,2018,1
I4210121139,2019,0
I4210121139,2020,25
I4210121139,2021,1
I4210121139,2022,3
I4210121139,2023,6
I4210121139,2024,2
I4210121139,2025,2
I4210121139,2026,0
I4405255364,2006,NA
I4405255364,2007,NA
I4405255364,2008,NA
I4405255364,2009,NA
I4405255364,2010,NA
I4405255364,2011,NA
I4405255364,2012,NA
I4405255364,2013,NA
I4405255364,2014,NA
I4405255364,2015,NA
I4405255364,2016,NA
I4405255364,2017,NA
I4405255364,2018,NA
I4405255364,2019,NA
I4405255364,2020,NA
I4405255364,2021,NA
I4405255364,2022,NA
I4405255364,2023,NA
I4405255364,2024,NA
I4405255364,2025,NA
I4405255364,2026,NA
I4210155196,2006,NA
I4210155196,2007,NA
I4210155196,2008,NA
I4210155196,2009,NA
