name,year,inst_id,country_code,type,n_publication,ace_1,ace_2,deltas_1,gdp_cap,gdp_growth,internet,electricity,tertiary_enrol,education_exp,rd_exp,n_citations,founded_date,researchers_per_million,n_international_any,international_share_any,n_inter_african,inter_african_share,n_extra_african,extra_african_share
Jimma University,2022,I1443707,ETH,education,1448,0,0,0,811.177729326201,5.32175988403378,17.9836998,55.4,NA,3.73649512188829,NA,17847,1999,NA,487,0.3349381017881706,113,0.07771664374140302,458,0.3149931224209078
Jimma University,2023,I1443707,ETH,education,1415,0,0,0,842.44660489404,6.59424599357075,20.33749962,55.4,NA,2.9272447768927,NA,13360,1999,NA,531,0.37447108603667134,93,0.06558533145275035,496,0.34978843441466856
Jimma University,2024,I1443707,ETH,education,1414,0,0,0,883.458588619291,7.61277447511073,21.94129944,NA,NA,2.2978069565991,NA,8465,1999,NA,598,0.4202389318341532,123,0.08643710470836262,562,0.3949402670414617
Jimma University,2025,I1443707,ETH,education,1514,0,0,0,NA,NA,NA,NA,NA,NA,NA,5063,1999,NA,771,0.500324464633355,160,0.10382868267358858,728,0.47242050616482806
John Garang Memorial University of Science and Technology,2006,I4210124673,SSD,education,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2006,NA,0,NA,0,NA,0,NA
John Garang Memorial University of Science and Technology,2007,I4210124673,SSD,education,0,0,0,0,NA,NA,NA,0.8,NA,NA,NA,0,2006,NA,0,NA,0,NA,0,NA
John Garang Memorial University of Science and Technology,2008,I4210124673,SSD,education,0,0,0,0,2289.18415375563,NA,NA,1.3,NA,NA,NA,0,2006,NA,0,NA,0,NA,0,NA
John Garang Memorial University of Science and Technology,2009,I4210124673,SSD,education,0,0,0,0,2293.80166888543,5.04164187983342,NA,3,NA,NA,NA,0,2006,NA,0,NA,0,NA,0,NA
John Garang Memorial University of Science and Technology,2010,I4210124673,SSD,education,0,0,0,0,2295.07026096006,5.49341639529945,NA,1.5,NA,1.04533007934585,NA,0,2006,NA,0,NA,0,NA,0,NA
John Garang Memorial University of Science and Technology,2011,I4210124673,SSD,education,0,0,0,0,2073.23981819145,-4.64031673600859,NA,2.8,NA,0.962890028953552,NA,0,2006,NA,0,NA,0,NA,0,NA
John Garang Memorial University of Science and Technology,2012,I4210124673,SSD,education,1,0,0,0,1069.19619080938,-46.0821223743007,1.5,3.3,NA,1.57674938085481,NA,2,2006,NA,0,0,0,0,0,0
John Garang Memorial University of Science and Technology,2013,I4210124673,SSD,education,2,0,0,0,1165.16202707495,13.1297311406943,2.200000048,3.8,NA,1.02450001239777,NA,3,2006,NA,1,0.5,0,0,1,0.5
John Garang Memorial University of Science and Technology,2014,I4210124673,SSD,education,2,0,0,0,1197.09491969479,3.37364847715736,2.5999999049999998,4.3,NA,1.23246002197266,NA,22,2006,NA,1,0.5,1,0.5,1,0.5
John Garang Memorial University of Science and Technology,2015,I4210124673,SSD,education,2,0,0,0,1080.14718624765,-10.7933646271143,3,4.8,NA,1.46555995941162,NA,25,2006,NA,2,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666
John Garang Memorial University of Science and Technology,2016,I4210124673,SSD,education,0,0,0,0,NA,NA,3.5,5.3,NA,1.56539228959694,NA,0,2006,NA,1,1,0,0,1,1
John Garang Memorial University of Science and Technology,2017,I4210124673,SSD,education,3,0,0,0,NA,NA,4.1,4.2,NA,NA,NA,69,2006,NA,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333
John Garang Memorial University of Science and Technology,2018,I4210124673,SSD,education,1,0,0,0,NA,NA,4.800000191,6.3,NA,NA,NA,6,2006,NA,1,1,1,1,0,0
John Garang Memorial University of Science and Technology,2019,I4210124673,SSD,education,3,0,0,0,NA,NA,6.671000004,6.8,NA,NA,NA,1,2006,NA,3,1,1,0.3333333333333333,2,0.6666666666666666
John Garang Memorial University of Science and Technology,2020,I4210124673,SSD,education,3,0,0,0,NA,NA,NA,7.3,NA,NA,NA,18,2006,NA,2,0.4,1,0.2,2,0.4
John Garang Memorial University of Science and Technology,2021,I4210124673,SSD,education,5,0,0,0,NA,NA,NA,7.7,NA,NA,NA,166,2006,NA,4,0.8,0,0,4,0.8
John Garang Memorial University of Science and Technology,2022,I4210124673,SSD,education,14,0,0,0,NA,NA,NA,8.4,NA,NA,NA,197,2006,NA,11,0.7857142857142857,3,0.21428571428571427,9,0.6428571428571429
John Garang Memorial University of Science and Technology,2023,I4210124673,SSD,education,18,0,0,0,NA,NA,NA,5.4,NA,NA,NA,4,2006,NA,2,0.1111111111111111,1,0.05555555555555555,1,0.05555555555555555
John Garang Memorial University of Science and Technology,2024,I4210124673,SSD,education,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,2006,NA,5,1,2,0.4,4,0.8
John Garang Memorial University of Science and Technology,2025,I4210124673,SSD,education,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2006,NA,3,0.6,0,0,3,0.6
Jomo Kenyatta University of Agriculture and Technology,2006,I26805570,KEN,education,91,0,0,0,1263.54164666211,6.47249430015484,3.5999999049999998,26.4,NA,7.04981994628906,NA,2908,1994,NA,39,0.42391304347826086,4,0.04347826086956521,36,0.391304347826087
Jomo Kenyatta University of Agriculture and Technology,2007,I26805570,KEN,education,89,0,0,0,1309.91092948216,6.85072976998784,4.400000095,28.3,NA,NA,0.35521,1182,1994,56.1911,27,0.3,2,0.02222222222222222,25,0.2777777777777778
