name,inst_id
Ekiti State University,https://openalex.org/I13144388
El Bosque University,https://openalex.org/I189460059
Embry-Riddle Aeronautical University,https://openalex.org/I84475105
Emory University,https://openalex.org/I150468666
Saint Petersburg Mining University,https://openalex.org/I3018660459
Erasmus University Rotterdam,https://openalex.org/I913958620
Erciyes University,https://openalex.org/I87673952
Erzincan Binali Yıldırım University,https://openalex.org/I176037994
Escuela Politécnica Nacional,https://openalex.org/I4210087457
Escuela Superior Politécnica del Litoral,https://openalex.org/I2135383
Eskişehir Osmangazi University,https://openalex.org/I51209816
Eskişehir Technical University,https://openalex.org/I4210091955
Estonian University of Life Sciences,https://openalex.org/I19409027
European University Cyprus,https://openalex.org/I201118511
Ewha Womans University,https://openalex.org/I138925566
Eötvös Loránd University,https://openalex.org/I106118109
Far Eastern Federal University,https://openalex.org/I204947315
Fayoum University,https://openalex.org/I66513531
Federal Rural University of Pernambuco,https://openalex.org/I62921916
Federal University Oye-Ekiti,https://openalex.org/I43427933
Federal University of Alagoas,https://openalex.org/I79889768
Federal University of Espírito Santo,https://openalex.org/I51235708
Federal University of Goiás,https://openalex.org/I68106152
Federal University of Itajubá,https://openalex.org/I8165072
Federal University of Lavras,https://openalex.org/I1315085146
Federal University of Mato Grosso do Sul,https://openalex.org/I122558511
Federal University of Minas Gerais,https://openalex.org/I110200422
Federal University of Pará,https://openalex.org/I59606676
Federal University of Pelotas,https://openalex.org/I169248161
Federal University of Pernambuco,https://openalex.org/I25112270
Federal University of Piauí,https://openalex.org/I3121799822
Federal University of Rio Grande do Norte,https://openalex.org/I35046152
Federal University of Rio de Janeiro,https://openalex.org/I122140584
Federal University of Santa Maria,https://openalex.org/I33501960
Federal University of São Carlos,https://openalex.org/I177909021
Federal University of Technology Akure,https://openalex.org/I180664298
"Federal University of Technology, Minna",https://openalex.org/I76661892
"Federal University of Technology, Owerri",https://openalex.org/I16443873
Federal University of Tocantins,https://openalex.org/I41458283
Federal University of Uberlândia,https://openalex.org/I80850581
Federal University of Viçosa,https://openalex.org/I146165071
Federal University of the State of Rio de Janeiro,https://openalex.org/I83648350
Federation University Australia,https://openalex.org/I4210158496
Federico Santa María Technical University,https://openalex.org/I75778554
Feng Chia University,https://openalex.org/I4880106
Ferdowsi University of Mashhad,https://openalex.org/I86958956
